,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory,ResearchProductivity,TeachingLoad,Performance,YearsStudents
7377,Federal University of Technology Minna,Statistics,Benue,Female,Lecturer i,Ph.D,Contract staff,38,9,8,8.4,5,5,8,High,0.8,0.5556,25.4,0.8
7378,University of Lagos,Geography,Taraba,Female,Senior lecturer,M.Phil,Full-time staff,41,15,2,6.7,5,2,8,Executive,0.125,0.2222,23.7,0.5
7379,Nnamdi Azikiwe University,Engineering,Katsina,Female,Lecturer ii,B.Ed,Full-time staff,32,10,8,3.9,6,5,19,Medium,0.7273,0.25,21.9,1.7273
7380,Ahmadu Bello University,Chemistry,Kaduna,Female,Senior lecturer,Ph.D,Full-time staff,42,0,13,4.3,8,7,6,Executive,13.0,1.0,17.3,6.0
7381,Abubakar Tafawa Balewa University Bauchi,Biology,Delta,Female,Lecturer ii,Ph.D,Part-time staff,33,4,3,9.0,0,1,4,Medium,0.6,0.2,16.0,0.8
7382,University of Lagos,Agriculture,Benue,Female,Lecturer i,M.Ed,Full-time staff,33,11,7,4.1,2,4,5,High,0.5833,0.6667,22.1,0.4167
7383,Bayero University Kano,Mathematics,Oyo,Female,Senior lecturer,Ph.D,Full-time staff,43,17,4,9.9,9,5,10,Executive,0.2222,0.4545,30.9,0.5556
7384,Federal University of Technology Minna,Geography,Oyo,Female,Senior lecturer,Ph.D,Full-time staff,36,13,13,10.0,0,7,17,Executive,0.9286,0.3889,36.0,1.2143
7385,University of Nigeria Nsukka,Library science,Kaduna,Female,Assistant lecturer,MBA,Full-time staff,31,2,2,5.1,5,2,0,Medium,0.6667,2.0,9.1,0.0
7386,University of Benin,Chemistry,Enugu,Female,Lecturer ii,MBA,Contract staff,33,7,5,8.4,1,2,3,Medium,0.625,0.5,20.4,0.375
7387,Obafemi Awolowo University,Education,Lagos,Female,Graduate assistant,Ph.D,Part-time staff,26,0,4,8.4,3,1,2,Low,4.0,0.3333,12.4,2.0
7388,Abubakar Tafawa Balewa University Bauchi,English,Delta,Female,Lecturer i,M.Ed,Full-time staff,36,10,6,3.6,7,3,11,High,0.5455,0.25,19.6,1.0
7389,Nnamdi Azikiwe University,History,Bauchi,Female,Associate professor,Ph.D,Part-time staff,51,29,2,8.7,4,5,8,Executive,0.0667,0.5556,39.7,0.2667
7390,Bayero University Kano,Geography,Kano,Female,Graduate assistant,Ph.D,Full-time staff,28,2,0,3.5,2,1,0,Medium,0.0,1.0,5.5,0.0
7391,Abubakar Tafawa Balewa University Bauchi,Architecture,Taraba,Female,Senior lecturer,MBA,Contract staff,48,19,7,6.9,5,3,11,Executive,0.35,0.25,32.9,0.55
7392,University of Benin,Engineering,Kaduna,Female,Professor,Ph.D,Full-time staff,53,26,9,9.3,6,6,7,Executive,0.3333,0.75,44.3,0.2593
7393,University of Nigeria Nsukka,English,Rivers,Female,Lecturer i,Ph.D,Full-time staff,35,9,5,6.9,6,4,16,High,0.5,0.2353,20.9,1.6
7394,Obafemi Awolowo University,Computer science,Kaduna,Female,Associate professor,M.Sc,Contract staff,48,30,9,6.8,0,6,6,Executive,0.2903,0.8571,45.8,0.1935
7395,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Benue,Female,Senior lecturer,M.Sc,Full-time staff,46,16,8,4.2,4,6,17,Executive,0.4706,0.3333,28.2,1.0
7396,Federal University of Technology Minna,Economics,Benue,Female,Lecturer i,M.Sc,Full-time staff,40,15,7,6.8,3,4,8,High,0.4375,0.4444,28.8,0.5
7397,Bayero University Kano,Nursing,Anambra,Male,Senior lecturer,Ph.D,Full-time staff,35,12,7,8.4,5,3,12,Executive,0.5385,0.2308,27.4,0.9231
7398,University of Ilorin,Engineering,Benue,Female,Professor,M.Sc,Full-time staff,54,0,18,8.9,2,7,21,Executive,18.0,0.3182,26.9,21.0
7399,University of Ilorin,Computer science,Kano,Female,Lecturer ii,B.Sc,Full-time staff,30,6,2,6.7,3,3,17,Medium,0.2857,0.1667,14.7,2.4286
7400,Abubakar Tafawa Balewa University Bauchi,Mathematics,Benue,Female,Associate professor,M.Phil,Adjunct staff,49,21,9,7.6,4,7,4,Executive,0.4091,1.4,37.6,0.1818
7401,Abubakar Tafawa Balewa University Bauchi,Physics,Oyo,Female,Associate professor,M.Ed,Full-time staff,43,0,12,6.1,9,2,21,Executive,12.0,0.0909,18.1,21.0
7402,University of Nigeria Nsukka,English,Rivers,Female,Professor,Ph.D,Contract staff,51,25,15,3.9,4,1,5,Executive,0.5769,0.1667,43.9,0.1923
7403,Nnamdi Azikiwe University,Nursing,Sokoto,Female,Assistant lecturer,Ph.D,Full-time staff,26,3,4,4.5,2,5,1,Medium,1.0,2.5,11.5,0.25
7404,Obafemi Awolowo University,Architecture,Kaduna,Male,Assistant lecturer,Ph.D,Contract staff,31,2,4,8.9,2,6,4,Medium,1.3333,1.2,14.9,1.3333
7405,Obafemi Awolowo University,Engineering,Niger,Female,Lecturer ii,B.Sc,Part-time staff,32,8,6,8.2,7,5,21,Medium,0.6667,0.2273,22.2,2.3333
7406,Bayero University Kano,Agriculture,Zamfara,Female,Lecturer ii,B.Tech,Full-time staff,33,6,4,6.6,7,7,20,Medium,0.5714,0.3333,16.6,2.8571
7407,Federal University of Technology Minna,Chemistry,Abuja,Female,Associate professor,M.Tech,Full-time staff,46,19,8,4.2,7,4,11,Executive,0.4,0.3333,31.2,0.55
7408,Bayero University Kano,Physics,Sokoto,Female,Associate professor,Ph.D,Full-time staff,49,30,3,6.0,3,7,2,Executive,0.0968,2.3333,39.0,0.0645
7409,Obafemi Awolowo University,English,Katsina,Female,Lecturer i,Ph.D,Full-time staff,39,14,10,6.6,0,2,10,High,0.6667,0.1818,30.6,0.6667
7410,University of Ilorin,Library science,Kano,Female,Lecturer ii,Ph.D,Full-time staff,31,4,6,7.9,4,2,13,Medium,1.2,0.1429,17.9,2.6
7411,Obafemi Awolowo University,Library science,Plateau,Female,Lecturer ii,M.Tech,Full-time staff,30,4,4,8.6,4,6,5,Medium,0.8,1.0,16.6,1.0
7412,Bayero University Kano,Nursing,Benue,Female,Assistant lecturer,Ph.D,Part-time staff,31,5,7,6.1,4,4,3,Low,1.1667,1.0,18.1,0.5
7413,Abubakar Tafawa Balewa University Bauchi,Engineering,Bauchi,Female,Lecturer ii,Ph.D,Contract staff,27,4,4,6.3,1,5,6,Medium,0.8,0.7143,14.3,1.2
7414,Obafemi Awolowo University,Chemistry,Benue,Female,Senior lecturer,Ph.D,Part-time staff,44,22,11,9.7,5,1,9,High,0.4783,0.1,42.7,0.3913
7415,Nnamdi Azikiwe University,Biology,Adamawa,Male,Assistant lecturer,Ph.D,Full-time staff,29,2,7,7.9,1,1,3,Medium,2.3333,0.25,16.9,1.0
7416,Bayero University Kano,Mathematics,Benue,Female,Lecturer i,Ph.D,Full-time staff,38,14,3,5.7,0,6,21,High,0.2,0.2727,22.7,1.4
7417,Abubakar Tafawa Balewa University Bauchi,Law,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,34,10,1,9.1,5,6,12,Medium,0.0909,0.4615,20.1,1.0909
7418,University of Ilorin,Computer science,Imo,Male,Lecturer ii,M.Sc,Full-time staff,26,4,1,6.2,0,5,14,Medium,0.2,0.3333,11.2,2.8
7419,University of Benin,Architecture,Lagos,Female,Associate professor,M.Ed,Full-time staff,57,29,15,7.4,4,2,2,Executive,0.5,0.6667,51.4,0.0667
7420,University of Lagos,Chemistry,Kwara,Female,Professor,M.Sc,Contract staff,49,25,3,7.2,2,2,12,Executive,0.1154,0.1538,35.2,0.4615
7421,Federal University of Technology Minna,Accounting,Kaduna,Female,Senior lecturer,Ph.D,Part-time staff,36,13,4,7.2,0,5,11,Executive,0.2857,0.4167,24.2,0.7857
7422,Obafemi Awolowo University,Library science,Enugu,Female,Lecturer ii,B.Ed,Full-time staff,32,5,7,5.6,1,4,14,Medium,1.1667,0.2667,17.6,2.3333
7423,Obafemi Awolowo University,Education,Kaduna,Female,Senior lecturer,M.Sc,Full-time staff,42,20,10,5.0,5,6,21,Executive,0.4762,0.2727,35.0,1.0
7424,Ahmadu Bello University,Accounting,Kwara,Female,Associate professor,M.Sc,Full-time staff,49,21,4,6.6,1,3,10,Executive,0.1818,0.2727,31.6,0.4545
7425,Ahmadu Bello University,Statistics,Delta,Female,Lecturer i,Ph.D,Contract staff,32,10,3,8.8,2,2,5,High,0.2727,0.3333,21.8,0.4545
7426,University of Ilorin,Medicine,Taraba,Female,Lecturer i,B.Tech,Full-time staff,32,9,9,7.9,4,2,7,High,0.9,0.25,25.9,0.7
7427,Federal University of Technology Minna,Pharmacy,Oyo,Female,Professor,M.Sc,Full-time staff,62,37,4,5.5,2,4,21,Executive,0.1053,0.1818,46.5,0.5526
7428,University of Nigeria Nsukka,Education,Abuja,Male,Senior lecturer,Ph.D,Contract staff,49,22,12,8.2,10,7,21,Executive,0.5217,0.3182,42.2,0.913
7429,Bayero University Kano,Medicine,Enugu,Female,Associate professor,Ph.D,Contract staff,47,20,9,5.2,2,7,11,Executive,0.4286,0.5833,34.2,0.5238
7430,Bayero University Kano,Architecture,Bauchi,Female,Lecturer i,Ph.D,Full-time staff,41,14,7,5.1,6,4,4,High,0.4667,0.8,26.1,0.2667
7431,Ahmadu Bello University,Mathematics,Katsina,Male,Senior lecturer,M.Sc,Full-time staff,43,15,13,4.5,3,5,3,High,0.8125,1.25,32.5,0.1875
7432,Abubakar Tafawa Balewa University Bauchi,Library science,Kaduna,Female,Lecturer i,M.Sc,Full-time staff,38,10,2,3.5,1,3,23,High,0.1818,0.125,15.5,2.0909
7433,University of Benin,Nursing,Zamfara,Female,Graduate assistant,Ph.D,Part-time staff,24,1,1,3.8,0,3,2,Low,0.5,1.0,5.8,1.0
7434,Abubakar Tafawa Balewa University Bauchi,Chemistry,Abuja,Male,Lecturer ii,M.Phil,Full-time staff,31,8,6,5.9,0,5,9,Medium,0.6667,0.5,19.9,1.0
7435,University of Benin,Biology,Kano,Female,Lecturer ii,MBA,Full-time staff,38,10,8,8.0,4,4,7,Medium,0.7273,0.5,26.0,0.6364
7436,University of Benin,Law,Benue,Female,Lecturer ii,Ph.D,Full-time staff,34,8,3,9.8,2,6,24,Medium,0.3333,0.24,20.8,2.6667
7437,University of Lagos,Engineering,Oyo,Female,Senior lecturer,M.Sc,Full-time staff,44,19,7,6.9,3,7,20,High,0.35,0.3333,32.9,1.0
7438,Federal University of Technology Minna,Agriculture,Benue,Female,Assistant lecturer,Ph.D,Full-time staff,30,3,4,7.5,3,5,11,Medium,1.0,0.4167,14.5,2.75
7439,Federal University of Technology Minna,Accounting,Bauchi,Female,Lecturer i,Ph.D,Full-time staff,42,13,5,4.3,0,2,11,High,0.3571,0.1667,22.3,0.7857
7440,University of Benin,Pharmacy,Taraba,Male,Assistant lecturer,B.Ed,Full-time staff,28,3,4,6.3,0,1,1,Medium,1.0,0.5,13.3,0.25
7441,University of Lagos,Geography,Oyo,Female,Lecturer i,Ph.D,Adjunct staff,42,15,6,5.7,2,1,9,Medium,0.375,0.1,26.7,0.5625
7442,Nnamdi Azikiwe University,Architecture,Benue,Female,Lecturer ii,Ph.D,Contract staff,31,7,3,4.4,6,6,23,Medium,0.375,0.25,14.4,2.875
7443,Abubakar Tafawa Balewa University Bauchi,Economics,Adamawa,Female,Graduate assistant,M.Ed,Full-time staff,24,1,5,9.2,1,2,0,Low,2.5,2.0,15.2,0.0
7444,University of Benin,Physics,Plateau,Female,Graduate assistant,M.Sc,Full-time staff,29,0,1,3.7,3,5,1,Low,1.0,2.5,4.7,1.0
7445,Ahmadu Bello University,Pharmacy,Kaduna,Female,Lecturer i,Ph.D,Full-time staff,34,12,3,6.0,0,2,6,High,0.2308,0.2857,21.0,0.4615
7446,University of Ilorin,Education,Niger,Female,Lecturer i,Ph.D,Adjunct staff,41,15,5,3.8,5,7,22,High,0.3125,0.3043,23.8,1.375
7447,Nnamdi Azikiwe University,Architecture,Zamfara,Male,Senior lecturer,Ph.D,Full-time staff,41,13,12,8.3,3,3,23,High,0.8571,0.125,33.3,1.6429
7448,Federal University of Technology Minna,Education,Katsina,Female,Associate professor,Ph.D,Part-time staff,58,30,11,4.4,2,4,13,Executive,0.3548,0.2857,45.4,0.4194
7449,Obafemi Awolowo University,Physics,Bauchi,Female,Lecturer i,Ph.D,Full-time staff,40,14,9,4.0,0,6,19,High,0.6,0.3,27.0,1.2667
7450,University of Lagos,Law,Abuja,Female,Assistant lecturer,Ph.D,Full-time staff,30,4,5,7.6,0,2,1,Medium,1.0,1.0,16.6,0.2
7451,Bayero University Kano,Statistics,Zamfara,Female,Lecturer i,Ph.D,Full-time staff,43,15,8,3.6,3,5,5,High,0.5,0.8333,26.6,0.3125
7452,Abubakar Tafawa Balewa University Bauchi,Agriculture,Imo,Female,Assistant lecturer,B.Sc,Full-time staff,27,0,2,6.6,0,4,3,Medium,2.0,1.0,8.6,3.0
7453,Federal University of Technology Minna,Agriculture,Oyo,Female,Lecturer i,Ph.D,Full-time staff,36,13,5,8.4,5,1,14,Medium,0.3571,0.0667,26.4,1.0
7454,University of Lagos,Accounting,Adamawa,Female,Professor,Ph.D,Full-time staff,57,40,19,10.0,3,7,21,Executive,0.4634,0.3182,69.0,0.5122
7455,Obafemi Awolowo University,Statistics,Plateau,Female,Lecturer ii,Ph.D,Full-time staff,38,9,5,7.9,4,2,2,Medium,0.5,0.6667,21.9,0.2
7456,Federal University of Technology Minna,Statistics,Anambra,Female,Associate professor,Ph.D,Full-time staff,46,20,14,8.1,1,0,7,Executive,0.6667,0.0,42.1,0.3333
7457,Obafemi Awolowo University,Law,Benue,Female,Lecturer ii,M.Sc,Full-time staff,32,10,3,8.8,2,3,19,Medium,0.2727,0.15,21.8,1.7273
7458,Abubakar Tafawa Balewa University Bauchi,Accounting,Niger,Female,Lecturer i,M.Phil,Contract staff,29,7,0,7.2,261,0,13,High,0.0,0.0,14.2,1.625
7459,Federal University of Technology Minna,Geography,Anambra,Female,Lecturer i,Ph.D,Full-time staff,30,7,6,7.3,4,5,2,High,0.75,1.6667,20.3,0.25
7460,University of Lagos,Economics,Abuja,Female,Lecturer i,Ph.D,Full-time staff,34,9,6,4.6,2,1,8,High,0.6,0.1111,19.6,0.8
7461,University of Lagos,Geography,Niger,Female,Lecturer i,Ph.D,Part-time staff,30,7,3,5.5,1,1,22,High,0.375,0.0435,15.5,2.75
7462,University of Benin,Engineering,Abuja,Female,Lecturer i,M.Ed,Full-time staff,40,14,4,8.9,1,1,7,High,0.2667,0.125,26.9,0.4667
7463,University of Lagos,Education,Zamfara,Female,Assistant lecturer,Ph.D,Contract staff,31,3,5,9.6,1,5,2,Medium,1.25,1.6667,17.6,0.5
7464,Ahmadu Bello University,History,Enugu,Female,Lecturer i,Ph.D,Full-time staff,33,8,8,10.0,4,6,11,Medium,0.8889,0.5,26.0,1.2222
7465,University of Ilorin,Mathematics,Katsina,Female,Assistant lecturer,M.Ed,Full-time staff,28,5,3,7.6,2,1,4,Medium,0.5,0.2,15.6,0.6667
7466,Obafemi Awolowo University,Economics,Benue,Female,Senior lecturer,Ph.D,Full-time staff,45,22,0,7.9,2,3,10,Executive,0.0,0.2727,29.9,0.4348
7467,Bayero University Kano,Medicine,Anambra,Female,Assistant lecturer,M.Sc,Full-time staff,30,4,1,8.4,2,6,3,Low,0.2,1.5,13.4,0.6
7468,University of Nigeria Nsukka,Biology,Taraba,Female,Associate professor,M.Sc,Full-time staff,48,19,1,3.8,6,1,4,Executive,0.05,0.2,23.8,0.2
7469,Bayero University Kano,Physics,Kano,Female,Associate professor,M.Tech,Full-time staff,47,18,5,10.0,5,4,9,Executive,0.2632,0.4,33.0,0.4737
7470,University of Ilorin,Computer science,Kaduna,Female,Professor,MBA,Full-time staff,60,38,17,5.7,0,7,8,Executive,0.4359,0.7778,60.7,0.2051
7471,University of Lagos,Agriculture,Enugu,Female,Professor,M.Sc,Full-time staff,59,33,13,7.8,2,1,19,Executive,0.3824,0.05,53.8,0.5588
7472,Obafemi Awolowo University,Medicine,Plateau,Female,Lecturer ii,M.Sc,Visiting staff,35,7,3,6.7,0,3,11,Medium,0.375,0.25,16.7,1.375
7473,Abubakar Tafawa Balewa University Bauchi,Education,Sokoto,Female,Assistant lecturer,MBA,Full-time staff,34,5,2,6.8,0,1,1,Medium,0.3333,0.5,13.8,0.1667
7474,Obafemi Awolowo University,Agriculture,Adamawa,Female,Lecturer i,Ph.D,Part-time staff,36,15,4,7.5,5,1,6,High,0.25,0.1429,26.5,0.375
7475,Ahmadu Bello University,Nursing,Rivers,Female,Senior lecturer,MBA,Full-time staff,43,15,6,3.7,0,6,15,High,0.375,0.375,24.7,0.9375
7476,University of Nigeria Nsukka,Medicine,Zamfara,Female,Senior lecturer,Ph.D,Full-time staff,47,19,4,6.1,0,7,12,Executive,0.2,0.5385,29.1,0.6
7477,Bayero University Kano,Law,Imo,Female,Senior lecturer,Ph.D,Full-time staff,47,20,13,5.4,2,6,19,Executive,0.619,0.3,38.4,0.9048
7478,Obafemi Awolowo University,Education,Anambra,Female,Assistant lecturer,Ph.D,Contract staff,29,5,3,5.0,7,3,0,Medium,0.5,3.0,13.0,0.0
7479,Federal University of Technology Minna,Accounting,Delta,Male,Professor,Ph.D,Visiting staff,51,25,6,7.4,3,7,24,Executive,0.2308,0.28,38.4,0.9231
7480,Federal University of Technology Minna,Mathematics,Katsina,Female,Lecturer ii,Ph.D,Full-time staff,33,7,4,9.3,8,2,14,Medium,0.5,0.1333,20.3,1.75
7481,Ahmadu Bello University,Education,Lagos,Female,Lecturer i,Ph.D,Full-time staff,38,12,3,7.9,0,5,20,High,0.2308,0.2381,22.9,1.5385
7482,Ahmadu Bello University,Education,Kaduna,Female,Graduate assistant,Ph.D,Full-time staff,28,0,5,9.0,1,6,2,Low,5.0,2.0,14.0,2.0
7483,University of Ilorin,Statistics,Bauchi,Female,Professor,Ph.D,Contract staff,57,34,19,8.1,5,5,4,Executive,0.5429,1.0,61.1,0.1143
7484,Nnamdi Azikiwe University,Computer science,Delta,Female,Senior lecturer,B.Sc,Full-time staff,39,14,5,8.9,4,1,10,Executive,0.3333,0.0909,27.9,0.6667
7485,University of Ilorin,Architecture,Adamawa,Female,Senior lecturer,Ph.D,Part-time staff,37,14,4,5.5,0,3,12,Executive,0.2667,0.2308,23.5,0.8
7486,Ahmadu Bello University,Medicine,Kaduna,Female,Associate professor,M.Sc,Visiting staff,56,23,18,3.9,5,3,23,Executive,0.75,0.125,44.9,0.9583
7487,Nnamdi Azikiwe University,History,Kaduna,Female,Senior lecturer,Ph.D,Full-time staff,46,19,5,9.4,1,1,18,Executive,0.25,0.0526,33.4,0.9
7488,Abubakar Tafawa Balewa University Bauchi,Chemistry,Kano,Female,Lecturer i,Ph.D,Full-time staff,31,7,6,5.4,4,1,23,High,0.75,0.0417,18.4,2.875
7489,University of Nigeria Nsukka,Agriculture,Benue,Female,Lecturer i,Ph.D,Part-time staff,31,8,11,4.9,5,4,11,High,1.2222,0.3333,23.9,1.2222
7490,University of Benin,Mathematics,Oyo,Female,Lecturer ii,M.Tech,Full-time staff,34,8,2,9.4,2,4,5,Medium,0.2222,0.6667,19.4,0.5556
7491,Bayero University Kano,Geography,Oyo,Female,Senior lecturer,M.Sc,Full-time staff,42,16,11,3.8,2,3,21,High,0.6471,0.1364,30.8,1.2353
7492,University of Lagos,Education,Delta,Female,Senior lecturer,Ph.D,Contract staff,39,13,3,4.2,5,6,22,Executive,0.2143,0.2609,20.2,1.5714
7493,Ahmadu Bello University,Medicine,Plateau,Female,Associate professor,Ph.D,Full-time staff,49,25,9,7.6,2,4,13,Executive,0.3462,0.2857,41.6,0.5
7494,Abubakar Tafawa Balewa University Bauchi,Chemistry,Bauchi,Female,Lecturer ii,Ph.D,Part-time staff,28,6,0,4.2,0,1,22,Medium,0.0,0.0435,10.2,3.1429
7495,Abubakar Tafawa Balewa University Bauchi,Accounting,Lagos,Female,Lecturer ii,Ph.D,Part-time staff,32,5,0,6.6,5,7,20,Medium,0.0,0.3333,11.6,3.3333
7496,Bayero University Kano,Architecture,Abuja,Female,Associate professor,Ph.D,Full-time staff,44,22,9,7.6,2,7,22,Executive,0.3913,0.3043,38.6,0.9565
7497,Abubakar Tafawa Balewa University Bauchi,Library science,Sokoto,Female,Lecturer i,Ph.D,Contract staff,41,14,10,7.5,5,7,8,High,0.6667,0.7778,31.5,0.5333
7498,Obafemi Awolowo University,Physics,Imo,Female,Senior lecturer,Ph.D,Full-time staff,40,17,1,8.3,5,4,24,Executive,0.0556,0.16,26.3,1.3333
7499,Nnamdi Azikiwe University,History,Benue,Female,Lecturer i,MBA,Full-time staff,36,7,3,5.4,3,1,19,High,0.375,0.05,15.4,2.375
7500,University of Benin,Agriculture,Abuja,Male,Associate professor,Ph.D,Full-time staff,42,20,9,9.3,0,7,24,Executive,0.4286,0.28,38.3,1.1429
7501,University of Nigeria Nsukka,Chemistry,Sokoto,Female,Associate professor,Ph.D,Full-time staff,54,28,2,6.6,0,4,2,Executive,0.069,1.3333,36.6,0.069
7502,Abubakar Tafawa Balewa University Bauchi,English,Kaduna,Female,Lecturer i,M.Sc,Full-time staff,37,11,5,8.8,2,7,22,High,0.4167,0.3043,24.8,1.8333
7503,Obafemi Awolowo University,Pharmacy,Kwara,Male,Lecturer i,Ph.D,Full-time staff,34,12,3,6.0,0,2,7,High,0.2308,0.25,21.0,0.5385
7504,Bayero University Kano,Engineering,Niger,Female,Senior lecturer,Ph.D,Full-time staff,41,14,9,9.7,5,4,10,Executive,0.6,0.3636,32.7,0.6667
7505,University of Benin,History,Niger,Female,Associate professor,Ph.D,Full-time staff,48,23,11,6.7,2,6,11,Executive,0.4583,0.5,40.7,0.4583
7506,University of Nigeria Nsukka,History,Bauchi,Female,Assistant lecturer,B.Ed,Full-time staff,28,2,4,4.1,1,4,1,Medium,1.3333,2.0,10.1,0.3333
7507,Federal University of Technology Minna,Biology,Niger,Female,Assistant lecturer,MBA,Full-time staff,33,6,7,4.5,3,1,2,Medium,1.0,0.3333,17.5,0.2857
7508,University of Ilorin,Economics,Oyo,Female,Lecturer i,Ph.D,Full-time staff,36,7,11,9.8,0,6,3,High,1.375,1.5,27.8,0.375
7509,University of Benin,Accounting,Rivers,Female,Senior lecturer,Ph.D,Full-time staff,43,19,5,5.4,4,2,22,Executive,0.25,0.087,29.4,1.1
7510,University of Lagos,History,Oyo,Female,Lecturer i,B.Ed,Full-time staff,37,14,6,8.0,1,6,14,Medium,0.4,0.4,28.0,0.9333
7511,University of Benin,Library science,Niger,Female,Professor,B.Tech,Full-time staff,51,25,21,4.8,5,2,6,Executive,0.8077,0.2857,50.8,0.2308
7512,Ahmadu Bello University,Library science,Benue,Female,Senior lecturer,M.Sc,Contract staff,41,15,7,7.0,0,1,3,Executive,0.4375,0.25,29.0,0.1875
7513,University of Ilorin,Mathematics,Lagos,Female,Associate professor,B.Sc,Full-time staff,44,18,2,9.6,10,2,15,Executive,0.1053,0.125,29.6,0.7895
7514,University of Benin,Engineering,Adamawa,Female,Graduate assistant,Ph.D,Visiting staff,29,2,1,4.2,3,6,11,Low,0.3333,0.5,7.2,3.6667
7515,University of Lagos,Statistics,Plateau,Female,Lecturer ii,Ph.D,Full-time staff,32,8,1,7.4,6,1,23,Medium,0.1111,0.0417,16.4,2.5556
7516,Ahmadu Bello University,Geography,Niger,Female,Senior lecturer,Ph.D,Full-time staff,41,16,7,4.3,2,2,6,Executive,0.4118,0.2857,27.3,0.3529
7517,Nnamdi Azikiwe University,Pharmacy,Oyo,Female,Lecturer i,Ph.D,Full-time staff,41,14,6,8.5,0,4,21,Medium,0.4,0.1818,28.5,1.4
7518,University of Nigeria Nsukka,Medicine,Enugu,Female,Professor,B.Ed,Visiting staff,56,34,15,8.2,3,5,5,Executive,0.4286,0.8333,57.2,0.1429
7519,Nnamdi Azikiwe University,Education,Katsina,Female,Assistant lecturer,M.Sc,Part-time staff,29,6,6,5.4,2,6,0,Medium,0.8571,6.0,17.4,0.0
7520,University of Lagos,Chemistry,Sokoto,Female,Lecturer ii,Ph.D,Full-time staff,35,9,4,8.9,4,2,10,High,0.4,0.1818,21.9,1.0
7521,Obafemi Awolowo University,Economics,Rivers,Female,Lecturer ii,Ph.D,Full-time staff,36,8,8,8.0,1,1,11,High,0.8889,0.0833,24.0,1.2222
7522,Bayero University Kano,Engineering,Zamfara,Female,Assistant lecturer,Ph.D,Full-time staff,34,6,1,7.4,3,4,0,Medium,0.1429,4.0,14.4,0.0
7523,Federal University of Technology Minna,Architecture,Plateau,Female,Professor,B.Ed,Full-time staff,56,36,0,7.6,1,6,19,Executive,0.0,0.3,43.6,0.5135
7524,Federal University of Technology Minna,Engineering,Sokoto,Female,Assistant lecturer,Ph.D,Full-time staff,26,2,6,4.2,6,3,2,Medium,2.0,1.0,12.2,0.6667
7525,University of Nigeria Nsukka,Medicine,Enugu,Female,Professor,MBA,Full-time staff,53,27,15,7.3,5,1,10,Executive,0.5357,0.0909,49.3,0.3571
7526,University of Ilorin,Education,Kaduna,Female,Lecturer i,M.Phil,Full-time staff,42,15,0,5.1,6,1,7,High,0.0,0.125,20.1,0.4375
7527,University of Nigeria Nsukka,Geography,Katsina,Male,Assistant lecturer,Ph.D,Full-time staff,30,5,2,5.1,6,7,0,Low,0.3333,7.0,12.1,0.0
7528,University of Benin,Physics,Lagos,Female,Assistant lecturer,MBA,Full-time staff,29,3,6,7.9,6,6,3,Medium,1.5,1.5,16.9,0.75
7529,Ahmadu Bello University,Education,Benue,Female,Lecturer ii,Ph.D,Full-time staff,30,6,0,5.1,5,5,20,Medium,0.0,0.2381,11.1,2.8571
7530,University of Benin,Agriculture,Plateau,Female,Lecturer i,Ph.D,Full-time staff,29,10,5,6.9,4,7,15,Medium,0.4545,0.4375,21.9,1.3636
7531,Nnamdi Azikiwe University,Engineering,Kaduna,Female,Senior lecturer,Ph.D,Full-time staff,43,16,5,8.0,3,6,11,Executive,0.2941,0.5,29.0,0.6471
7532,Bayero University Kano,Engineering,Lagos,Female,Associate professor,Ph.D,Full-time staff,51,29,0,9.9,2,4,19,Executive,0.0,0.2,38.9,0.6333
7533,Bayero University Kano,Mathematics,Adamawa,Female,Associate professor,Ph.D,Full-time staff,48,19,17,6.8,3,4,21,Executive,0.85,0.1818,42.8,1.05
7534,Obafemi Awolowo University,Geography,Lagos,Female,Senior lecturer,M.Sc,Full-time staff,46,20,8,5.9,1,6,16,Executive,0.381,0.3529,33.9,0.7619
7535,Obafemi Awolowo University,Economics,Sokoto,Female,Associate professor,Ph.D,Full-time staff,56,30,2,5.9,1,4,18,Executive,0.0645,0.2105,37.9,0.5806
7536,University of Lagos,Medicine,Enugu,Female,Lecturer i,Ph.D,Contract staff,35,12,4,4.9,3,6,8,High,0.3077,0.6667,20.9,0.6154
7537,University of Benin,Statistics,Abuja,Female,Lecturer i,Ph.D,Full-time staff,31,8,7,7.8,1,3,16,High,0.7778,0.1765,22.8,1.7778
7538,University of Benin,Architecture,Adamawa,Female,Senior lecturer,M.Ed,Visiting staff,42,13,8,9.0,1,3,10,Executive,0.5714,0.2727,30.0,0.7143
7539,Ahmadu Bello University,Statistics,Anambra,Female,Associate professor,M.Phil,Full-time staff,48,20,9,5.0,6,1,18,Executive,0.4286,0.0526,34.0,0.8571
7540,University of Nigeria Nsukka,Agriculture,Sokoto,Male,Associate professor,Ph.D,Visiting staff,42,19,4,9.7,2,5,12,Executive,0.2,0.3846,32.7,0.6
7541,University of Benin,Geography,Bauchi,Female,Lecturer i,M.Sc,Part-time staff,39,11,0,7.1,0,1,23,High,0.0,0.0417,18.1,1.9167
